Source;Category;Definition;Link
Marrakech Partnership for Global Climate Action Types;Marrakech Partnership for Global Climate Action, Action Types;"The Marrakech Partnership for Global Climate Action utilizes a structured approach to facilitate climate action among various stakeholders, aiming to support the goals of the Paris Agreement and the 2030 Agenda for Sustainable Development. This approach involves categorizing climate action into specific ""Action Areas"" or ""Action Types."" These include sectors and themes like energy, industry, human settlements, water, oceans and coastal zones, transport, forests, agriculture, and health. Each area involves distinct strategies and actions tailored to its unique challenges and opportunities in contributing to a climate-resilient future.";https://unfccc.int/climate-action/marrakech-partnership-for-global-climate-action
Marrakech Partnership for Global Climate Action Types;Climate risk and vulnerability assessments, disclosure and monitoring actions;This category focuses on conducting thorough assessments of climate risks and vulnerabilities. It involves the disclosure of these assessments and continuous monitoring to inform and guide climate resilience strategies. The goal is to understand and communicate the extent of climate risks to better prepare and adapt to climatic changes.;https://unfccc.int/climate-action/marrakech-partnership-for-global-climate-action
Marrakech Partnership for Global Climate Action Types;Access to early warning systems and development of early actions;Establishes advanced warning systems to foresee and act before extreme or slow-evolving climatic events occur, developing rapid and efficient response capabilities at various levels.;https://unfccc.int/climate-action/marrakech-partnership-for-global-climate-action
Marrakech Partnership for Global Climate Action Types;Preparedness with contingency plans and emergency response;Integrates climate risk and vulnerability analysis into national emergency preparedness and response strategies, aiming to equip nations for handling and mitigating climatic disasters.;https://unfccc.int/climate-action/marrakech-partnership-for-global-climate-action
Marrakech Partnership for Global Climate Action Types;Establishment of effective governance to manage climate risks accompanied by human and institutional capacity-building;Encourages inclusive climate risk management in policy and action planning at all levels, with a focus on the most vulnerable and marginalized groups.;https://unfccc.int/climate-action/marrakech-partnership-for-global-climate-action
Marrakech Partnership for Global Climate Action Types;Nature-based solutions used to reduce risks;Promotes ecological and sustainable solutions in planning policies and practices, like ecosystem conservation and natural habitat restoration, to mitigate climate impacts.;https://unfccc.int/climate-action/marrakech-partnership-for-global-climate-action
Marrakech Partnership for Global Climate Action Types;Climate-proofing of infrastructure and services;Adapts and strengthens infrastructures and services to be resilient to climate risks, including updating building codes and engineering practices.;https://unfccc.int/climate-action/marrakech-partnership-for-global-climate-action
Marrakech Partnership for Global Climate Action Types;Risk transfer: insurance and social protection instruments;Develops insurance and social protection mechanisms responsive to climate risks to protect vulnerable and poor populations from extreme climatic events.;https://unfccc.int/climate-action/marrakech-partnership-for-global-climate-action
Marrakech Partnership for Global Climate Action Types;Sharing of knowledge and best practices on climate risk management;Promotes the exchange of strategies for effective and sustainable climate risk management, focusing on increasing climate resilience.;https://unfccc.int/climate-action/marrakech-partnership-for-global-climate-action
Marrakech Partnership for Global Climate Action Types;Increase in the volume, quality and access of public and private finance to invest in resilience;Boosts financial resources for climate adaptation and resilience projects, focusing on mobilizing public and private investments.;https://unfccc.int/climate-action/marrakech-partnership-for-global-climate-action
Permaculture Action;Permaculture Action;"In permaculture flower: The ""flower of permaculture"" is a diagrammatic representation that illustrates the various facets and applications of permaculture principles. It's often used to visualize the holistic, interconnected nature of permaculture practices, encompassing areas such as land use and planning, natural building, technology and energy systems, education and culture, health and spiritual well-being, finance and economics, and land tenure and community governance. Permaculture itself is based on a methodology that emphasizes the creation of sustainable and self-sufficient agricultural ecosystems. It is guided by three core ethics.";https://permacultureprinciples.com/flower/
Permaculture Action;Forest gardening;Producing food from trees, perennial and annual plants in a system that mimics a natural forest;https://permacultureprinciples.com/flower/
Permaculture Action;Seed saving;Collecting and storing seeds, often with the aim of maintaining certain strains.;https://permacultureprinciples.com/flower/
Permaculture Action;Organic agriculture;Commercial agriculture that uses natural fertilisers and pest control methods.;https://permacultureprinciples.com/flower/
Permaculture Action;Biodynamics;A system of organic agriculture and gardening based on the work of Rudolf Steiner;https://permacultureprinciples.com/flower/
Permaculture Action;Natural farming;A Japanese system of organic agriculture involving minimal or no use of tillage and animal manures, most notably associated with Masanobu Fukuoka;https://permacultureprinciples.com/flower/
Permaculture Action;Keyline water harvesting;A system of landscape analysis, water harvesting and soil development using dams, channels and soil condition ploughing, developed by P.A.Yeomans.;https://permacultureprinciples.com/flower/
Permaculture Action;Wholistic rangeland management;A system that uses intensive rotational grazing of livestock to sustainably manage land and provide animal yields, developed and taught by Allan Savory;https://permacultureprinciples.com/flower/
Permaculture Action;Natural sequence farming;A system of gabions, revegetation, and swales, to restore health and productivity of floodplains, developed by Peter Andrews;https://permacultureprinciples.com/flower/
Permaculture Action;Agroforestry;Integrated production of pastures and/or crops with timber and/or tree crops;https://permacultureprinciples.com/flower/
Permaculture Action;Nature-based forestry;Sustainable forestry that uses mixed species, long rotations, minimal impact harvesting and natural regeneration in wild and planted timber forests;https://permacultureprinciples.com/flower/
Permaculture Action;Integrated aquaculture;Aquatic systems that provide most of the food for harvested fish and/or other animals.;https://permacultureprinciples.com/flower/
Permaculture Action;Wild harvesting & hunting;Gathering food and other yields from wild plants and animals.;https://permacultureprinciples.com/flower/
Permaculture Action;Gleaning;Gathering of food wasted by commercial production.;https://permacultureprinciples.com/flower/
Permaculture Action;Passive solar design;Sun oriented glazing and shading, thermal mass, passive venting.;https://permacultureprinciples.com/flower/
Permaculture Action;Natural construction materials; Earth, strawbale, lime plaster, round pole, stone.;https://permacultureprinciples.com/flower/
Permaculture Action;Water harvesting & waste reuse;Water tanks, compost toilets and reedbeds.;https://permacultureprinciples.com/flower/
Permaculture Action;Biotechture; The manipulation of tree form to grow structures and buildings.;https://permacultureprinciples.com/flower/
Permaculture Action;Earth sheltered construction; “Earthships” and other designs that build into the ground.;https://permacultureprinciples.com/flower/
Permaculture Action;Natural disaster resistant construction; Bushfire, wind, flood & earthquake.;https://permacultureprinciples.com/flower/
Permaculture Action;Owner building; Empowerment and financial autonomy of residents and communities in constructing their own housing using accessible technologies and materials;https://permacultureprinciples.com/flower/
Permaculture Action;Pattern Language; Organic design theory and tools of Christopher Alexander;https://permacultureprinciples.com/flower/
Permaculture Action;Reuse & creative recycling; Decentralised and context specific reuse of materials through craft, rather than centralised industrial processes;https://permacultureprinciples.com/flower/
Permaculture Action;Hand tools; Recovery and maintenance of traditional tools and skills.;https://permacultureprinciples.com/flower/
Permaculture Action;Bicycles & electric bikes; Human powered and assisted transport that improves the efficiency of the human body.;https://permacultureprinciples.com/flower/
Permaculture Action;Efficient & low pollution wood stoves; Rocket and other stove designs using simple materials and local construction.;https://permacultureprinciples.com/flower/
Permaculture Action;Fuels from organic wastes; Bio-diesel, methanol, biogas and wood gas for local cooking, electricity and transport.;https://permacultureprinciples.com/flower/
Permaculture Action;Wood gasification; Efficient and carbon neutral fuel for local electric power and vehicle transport.;https://permacultureprinciples.com/flower/
Permaculture Action;Bio-char from forest wastes; Charcoal soil improver and carbon capture.;https://permacultureprinciples.com/flower/
Permaculture Action;Co-generation; Use of fuel to generate electricity and provide heat for on-site use.;https://permacultureprinciples.com/flower/
Permaculture Action;Micro-hydro & small scale wind; Simple renewable technologies for remote and local grid power.;https://permacultureprinciples.com/flower/
Permaculture Action;Grid-tied renewable power generation; Use of the electric grid as a “battery” for localised power generation.;https://permacultureprinciples.com/flower/
Permaculture Action;Energy storage; Heat banks, pumped storage (water), compressed air, and other simple temporary stores of energy.;https://permacultureprinciples.com/flower/
Permaculture Action;Transition engineering; Re-localisation of the maintenance, retrofit and redesign of infrastructure and technology.;https://permacultureprinciples.com/flower/
Permaculture Action;Home Schooling;Parents as natural teachers of children within the household economy.;https://permacultureprinciples.com/flower/
Permaculture Action;Waldorf education; Schools based on the educational methods of Rudolf Steiner.;https://permacultureprinciples.com/flower/
Permaculture Action;Participatory arts & music; Reclaiming our place as actors/musicians rather than spectators.;https://permacultureprinciples.com/flower/
Permaculture Action;Social ecology; Philosophy focused on the redesign of society using ecological principles.;https://permacultureprinciples.com/flower/
Permaculture Action;Action learning; A reflective process of progressive problem solving that accepts the observer as a part of the system being studied.;https://permacultureprinciples.com/flower/
Permaculture Action;Transition culture; An evolving exploration of the head, heart and hand of energy descent.;https://permacultureprinciples.com/flower/
Permaculture Action;Home birth & breast feeding; Reclaiming birth and infant nutrition as part of the economy of nature and the household.;https://permacultureprinciples.com/flower/
Permaculture Action;Complementary & wholistic medicine; A wide spectrum of approaches to health care outside of conventional allopathic medicine.;https://permacultureprinciples.com/flower/
Permaculture Action;Spirit of place, indigenous cultural revival; Reconnection of spiritual and cultural values to place and “country”.;https://permacultureprinciples.com/flower/
Permaculture Action;Yoga, Tai Chi & other body/mind/spirit disciplines; The maintenance of health through regular designed exercises based on eastern traditions.;https://permacultureprinciples.com/flower/
Permaculture Action;Dying with dignity; Movement to reclaim dying from institutionalised medicine.;https://permacultureprinciples.com/flower/
Permaculture Action;Farmers markets & community supported agriculture (CSA); Direct connection and contracting between producers and consumers without the middlemen.;https://permacultureprinciples.com/flower/
Permaculture Action;Tradable energy quotas; A parallel currency to allow equitable distribution and trade of the right to consume and pollute.;https://permacultureprinciples.com/flower/
Permaculture Action;Life cycle analysis & ’emergy’ accounting; Wholistic methods for measuring the full costs and benefits of existing and new technologies and economies.;https://permacultureprinciples.com/flower/
Permaculture Action;Local & regional currencies; Interest-free money systems that serve a defined and limited territory.;https://permacultureprinciples.com/flower/
Permaculture Action;Carpooling, ride sharing & car share; Rebuilding community by more efficient use of existing cars and roads.;https://permacultureprinciples.com/flower/
Permaculture Action;Ethical investment & fair trade; Using the power of investment and consumption to drive equitable economies.;https://permacultureprinciples.com/flower/
Permaculture Action;WWOOFing & similar networks; Voluntary exchange of work for food, accommodation and experience of ecological living.;https://permacultureprinciples.com/flower/
Permaculture Action;Cooperatives & Body Corporates; Legal structures for collective ownership and management of land, buildings and other assets.;https://permacultureprinciples.com/flower/
Permaculture Action;Cohousing & Ecovillages; Ecologically designed communities where residents are bound together by some degree of shared ownership and organisation.;https://permacultureprinciples.com/flower/
Permaculture Action;Open Space Technology & Consensus Decision Making; Collaborative tools for sharing knowledge and reaching decisions.;https://permacultureprinciples.com/flower/
Permaculture Action;Native Title & traditional use rights; Traditional ways of non-exclusive use of land and resources, recognised in law.;https://permacultureprinciples.com/flower/
Permaculture Action;Bio-intensive gardening;Use of compost, double digging, companion planting and natural pest control to produce the maximum amount of food in the minimum area.;https://permacultureprinciples.com/flower/
Permaculture Domain;Permaculture Flower;"The ""flower of permaculture"" is a diagrammatic representation that illustrates the various facets and applications of permaculture principles. It's often used to visualize the holistic, interconnected nature of permaculture practices, encompassing areas such as land use and planning, natural building, technology and energy systems, education and culture, health and spiritual well-being, finance and economics, and land tenure and community governance. Permaculture itself is based on a methodology that emphasizes the creation of sustainable and self-sufficient agricultural ecosystems. It is guided by three core ethics.";https://permacultureprinciples.com/flower/
Permaculture Domain;Land and Nature Stewardship;Permaculture begins with understanding nature, working with rather than against her;https://permacultureprinciples.com/flower/
Permaculture Domain;Building;Infrastructure that can enhance our way of life while minimising long-term impact;https://permacultureprinciples.com/flower/
Permaculture Domain;Tools and Technology;Human ingenuity used to transform energy from our environment to more useful resources;https://permacultureprinciples.com/flower/
Permaculture Domain;Education and Culture;Redefining how we learn by becoming more active and encouraging creativity;https://permacultureprinciples.com/flower/
Permaculture Domain;Health and Spiritual Well-Being;Taking more personal responsibility for our own well-being;https://permacultureprinciples.com/flower/
Permaculture Domain;Finances and Economics;Alternative exchange systems reduce reliance on the fragile monetary economy;https://permacultureprinciples.com/flower/
Permaculture Domain;Land Tenure and Community Governance;Develop new ways to provide access to land and govern our communities;https://permacultureprinciples.com/flower/
RtR Resilience Action Cluster;Resilience Action Clusters;Resilience Action Clusters serve to identify and categorise actions focused on building climate resilience. These emerged from a collaboration between different actors, originating in the collection of resilience actions from the Marrakech Partnership (Global Climate Action, 2021), the consulting firm Carbon Disclosure Project (CDP, 2022), and the IPCC Action List (IPCC, 2021). These actions were classified into 29 categories, the “Resilience Action Clusters”, which were validated by the campaign's Methodology Advisory Group (MAG). Resilience actions clusters usually include a combination of adaptation and response measures, as well as capacity building and awareness raising actions.;
RtR Resilience Action Cluster;Monitoring and mapping of risks and vulnerabilities;This action cluster involves the collection and analysis of geospatial and socioeconomic information to identify areas and populations that are most exposed to climate risks. It also involves evaluating the vulnerability of these groups, considering factors such as economic capacity, available infrastructure, and social conditions. The results are presented in the form of thematic maps and other visual formats to facilitate decision-making and planning of adaptation and mitigation interventions.;https://drive.google.com/file/d/1ScMwMjT3lusiB0c8tYYlb_dpki4YgOpk/view
RtR Resilience Action Cluster;Climate services and modelling;This action cluster focuses on the development and application of climate models that allow the generation of projections and future scenarios of climate and its impacts. These models help decision-makers, planners, and other actors anticipate changes in climate conditions, such as temperature, precipitation, and extreme events, and adapt their strategies and actions accordingly;https://drive.google.com/file/d/1ScMwMjT3lusiB0c8tYYlb_dpki4YgOpk/view
RtR Resilience Action Cluster;Data generation and processing;This action cluster comprises the collection of relevant data for climate resilience, such as meteorological, hydrological, demographic, and socioeconomic data. It also includes the analysis of this data using statistical, geospatial, and machine learning techniques to identify patterns, trends, and relationships that can inform adaptation and mitigation actions. Additionally, this Cluster Action involves the distribution and communication of analysis results through open data platforms, reports, and other information channels;https://drive.google.com/file/d/1ScMwMjT3lusiB0c8tYYlb_dpki4YgOpk/view
RtR Resilience Action Cluster;Early warning systems;This Cluster Action refers to the implementation of systems that constantly monitor environmental and climatic conditions and issue alerts when extreme events, such as storms, ﬂoods, or droughts, are detected. These systems can be based on remote sensors, weather stations, climate models, and other sources of information. Early warnings allow communities and authorities to prepare and take preventive measures before a disaster occurs, thus reducing human and material damage and losses.;https://drive.google.com/file/d/1ScMwMjT3lusiB0c8tYYlb_dpki4YgOpk/view
RtR Resilience Action Cluster;Emergency preparedness;This action cluster addresses the need to develop contingency and preparedness plans to deal with climate disasters. This includes identifying roles and responsibilities of the involved actors, allocating resources, and deﬁning action protocols in case of emergency. It also involves training personnel and communities in response and recovery techniques, such as evacuation, search and rescue, and ﬁrst aid. Emergency preparedness is essential to minimize the impacts of climate disasters and ensure a rapid and effective response.;https://drive.google.com/file/d/1ScMwMjT3lusiB0c8tYYlb_dpki4YgOpk/view
RtR Resilience Action Cluster;Environmental governance and resource management systems;This action cluster addresses the implementation of policies, practices, and sustainable management systems for natural resources, such as water, soil, forests, and biodiversity. Environmental governance also involves promoting collaboration and coordination among different levels of government, the private sector, civil society, and local communities in decision-making and the implementation of resource management actions.;https://drive.google.com/file/d/1ScMwMjT3lusiB0c8tYYlb_dpki4YgOpk/view
RtR Resilience Action Cluster;Environmental laws and regulatory framework;This action cluster focuses on the creation, updating, and application of laws and regulations that protect the environment, promote climate change adaptation, and foster sustainable practices. These laws and regulations can address issues such as natural resource management, pollution, biodiversity conservation, and land use planning;https://drive.google.com/file/d/1ScMwMjT3lusiB0c8tYYlb_dpki4YgOpk/view
RtR Resilience Action Cluster;Building regulations and standards for climate resilience;This action cluster involves the development and implementation of regulations and standards that ensure buildings are climate-resilient. These standards may include requirements for energy efﬁciency, the use of climate-resistant materials, adaptation to extreme weather events, and land use planning to reduce exposure to climate risks. Regulations and standards can also promote the adoption of sustainable building practices and the integration of nature-based solutions in the built environment.;https://drive.google.com/file/d/1ScMwMjT3lusiB0c8tYYlb_dpki4YgOpk/view
RtR Resilience Action Cluster;Protected areas and property rights definitions;This action cluster consists of establishing and managing protected areas, such as national parks, nature reserves, and Ramsar sites, to conserve biodiversity and maintain ecosystem services. It also involves clarifying and ensuring property and usage rights of natural resources, including the rights of indigenous and local communities, to facilitate sustainable management and conservation of these resources;https://drive.google.com/file/d/1ScMwMjT3lusiB0c8tYYlb_dpki4YgOpk/view
RtR Resilience Action Cluster;Institutional-led climate adaptation planning processes;This action cluster refers to the design and implementation of strategies and plans for climate adaptation at different levels of government (national, regional, and local). These plans identify vulnerabilities, climate risks, and priority actions to increase the resilience of communities, infrastructure, and ecosystems. Adaptation planning also includes monitoring and evaluating implemented actions and updating strategies as conditions change and new information becomes available;https://drive.google.com/file/d/1ScMwMjT3lusiB0c8tYYlb_dpki4YgOpk/view
RtR Resilience Action Cluster;Measures to improve air quality and reduce pollution;This action cluster addresses the implementation of policies, technologies, and practices to reduce emissions of air pollutants, such as ﬁne particles, nitrogen oxides, and volatile organic compounds. These measures include promoting public and non-motorized transportation, adopting clean technologies in industry and energy generation, and enacting air quality and emissions standards.;https://drive.google.com/file/d/1ScMwMjT3lusiB0c8tYYlb_dpki4YgOpk/view
RtR Resilience Action Cluster;Green infrastructure and other engineered nature-based solutions;This action cluster focuses on the design and implementation of infrastructure that uses natural systems to improve climate resilience and provide additional environmental beneﬁts. Examples of green infrastructure include artiﬁcial wetlands for stormwater management, green roofs to reduce urban heat island effects, and natural barriers such as mangroves and dunes to protect against coastal ﬂooding and erosion.;https://drive.google.com/file/d/1ScMwMjT3lusiB0c8tYYlb_dpki4YgOpk/view
RtR Resilience Action Cluster;Conservation and restoration of terrestrial and aquatic ecosystems;This action cluster is centered on protecting and recovering terrestrial and aquatic ecosystems, such as forests, wetlands, coral reefs, and seagrasses, to ensure their ability to provide ecosystem services and contribute to climate resilience. Conservation and restoration actions may include reforestation, revegetation, habitat rehabilitation, protection of critical areas for biodiversity, and sustainable management of natural resources.;https://drive.google.com/file/d/1ScMwMjT3lusiB0c8tYYlb_dpki4YgOpk/view
RtR Resilience Action Cluster;Critical Infrastructure and Protective Systems;This action cluster focuses on the design, construction, and maintenance of critical infrastructure, such as hospitals, schools, roads, and electrical grids, that are resilient to climate impacts. This involves incorporating climate considerations into the planning, design, and construction of infrastructure, as well as its maintenance and updating. Additionally, this action cluster may include strengthening protective systems, such as ﬂood barriers and levees, to reduce the impacts of extreme climate events on critical infrastructure.;https://drive.google.com/file/d/1ScMwMjT3lusiB0c8tYYlb_dpki4YgOpk/view
RtR Resilience Action Cluster;Coastal Infrastructure Protection;This action cluster addresses the implementation of measures to protect coastal infrastructure from extreme climate events and sea level rise. These measures may include building coastal protection infrastructure such as seawalls, breakwaters, and containment walls, as well as adopting nature-based solutions such as restoring coastal mangroves and dunes. It also involves coastal land-use planning and relocating infrastructure and communities in high-risk areas.;https://drive.google.com/file/d/1ScMwMjT3lusiB0c8tYYlb_dpki4YgOpk/view
RtR Resilience Action Cluster;Energy efficiency and renewable energy technologies;This action cluster promotes and implements technologies and practices that reduce energy consumption and increase the use of renewable energy sources such as solar, wind, hydroelectric, and biomass. Actions in this area may include implementing energy efﬁciency standards for buildings, promoting efﬁcient heating and cooling systems, and investing in infrastructure and policies for renewable energy generation and distribution.;https://drive.google.com/file/d/1ScMwMjT3lusiB0c8tYYlb_dpki4YgOpk/view
RtR Resilience Action Cluster;Water security and quality;Implementation of measures to ensure availability, quality, and access to water in the context of climate change, including water resource management, storage and distribution infrastructure, and water treatment and puriﬁcation technologies.;https://drive.google.com/file/d/1ScMwMjT3lusiB0c8tYYlb_dpki4YgOpk/view
RtR Resilience Action Cluster;Health services;This action cluster focuses on strengthening and adapting healthcare systems to face the challenges and risks associated with climate change, such as the spread of infectious diseases, increasing extreme weather events, and their impacts on mental and physical health. Actions in this area may include training healthcare professionals on climate change-related topics, improving healthcare infrastructure to withstand extreme weather events, and implementing surveillance and response systems for infectious and emerging diseases.;https://drive.google.com/file/d/1ScMwMjT3lusiB0c8tYYlb_dpki4YgOpk/view
RtR Resilience Action Cluster;Food security and sustainable services;This action cluster addresses the implementation of practices and technologies that ensure the availability, access, and stability of nutritious and culturally appropriate foods, while promoting sustainability in the production, distribution, and consumption of food. Actions may include promoting resilient local food systems, implementing sustainable agricultural practices, and reducing food loss and waste throughout the supply chain.;https://drive.google.com/file/d/1ScMwMjT3lusiB0c8tYYlb_dpki4YgOpk/view
RtR Resilience Action Cluster;Social protection actions;This action cluster focuses on implementing social protection programs and policies, such as cash transfers, training, and technical assistance, that help vulnerable communities to face and adapt to the impacts of climate change. These actions may include temporary employment programs in ecosystem restoration, training in resilient agricultural practices, and community early warning systems.;https://drive.google.com/file/d/1ScMwMjT3lusiB0c8tYYlb_dpki4YgOpk/view
RtR Resilience Action Cluster;Climate insurance and risk transfer;This action cluster focuses on the development and implementation of ﬁnancial mechanisms, such as insurance and risk transfer products, that help vulnerable communities and sectors to face and recover from the economic impacts of climate change. These mechanisms may include climate index-based insurance for farmers and ﬁshers, contingency funds for disasters, and ﬁnancing mechanisms for post-disaster recovery and reconstruction.;https://drive.google.com/file/d/1ScMwMjT3lusiB0c8tYYlb_dpki4YgOpk/view
