Source;Category;Definition;Link
RtR Resilience Action Cluster;Actions in agricultural, livestock, forestry, and aquaculture practices;This action cluster promotes and implements sustainable and resilient practices in these sectors, such as crop diversiﬁcation, agroforestry systems, soil conservation practices, and sustainable management of ﬁshery resources. Actions may include adopting efﬁcient irrigation technologies, promoting agroecological practices, sustainable pasture management, and implementing monitoring and control systems for ﬁsheries to prevent overexploitation and ensure the sustainability of ﬁshery resources.;https://drive.google.com/file/d/1ScMwMjT3lusiB0c8tYYlb_dpki4YgOpk/view
RtR Resilience Action Cluster;Community-based inclusive and participatory risk reduction;This action cluster aims to strengthen the capacity of local communities to identify, evaluate, and address climate risks in an inclusive and participatory manner, considering the needs and perspectives of different population groups. Actions may include implementing community workshops, creating local risk management committees, and promoting the participation of women, youth, and marginalized groups in decision-making.;https://drive.google.com/file/d/1ScMwMjT3lusiB0c8tYYlb_dpki4YgOpk/view
RtR Resilience Action Cluster;Climate hazard communication, information, and technology awareness;This action cluster focuses on the development and implementation of communication and education strategies and tools that help communities understand and address climate risks. Actions may include awareness campaigns, environmental and climate education programs, and the use of media and information technologies to disseminate information on risks and adaptation measures.;https://drive.google.com/file/d/1ScMwMjT3lusiB0c8tYYlb_dpki4YgOpk/view
RtR Resilience Action Cluster;Building knowledge for resilience;This action cluster promotes and implements research, training, and skill-building activities that strengthen the capacity of communities and other actors to cope with and adapt to climate change. Actions may include conducting case studies, developing courses and training programs, and establishing research and training centers on climate resilience.;https://drive.google.com/file/d/1ScMwMjT3lusiB0c8tYYlb_dpki4YgOpk/view
RtR Resilience Action Cluster;Research and collaboration actions;This action cluster fosters cooperation and knowledge exchange among institutions, sectors, and countries on climate resilience, including the development of joint projects and collaboration networks. Actions may include the creation of exchange platforms and forums, holding thematic conferences and events, and promoting partnerships among public, private, and civil society entities.;https://drive.google.com/file/d/1ScMwMjT3lusiB0c8tYYlb_dpki4YgOpk/view
RtR Resilience Action Cluster;Diversiffication of livelihoods and social economy;This action cluster supports the diversiﬁcation of income sources and the promotion of sustainable and climate-resilient economic activities, including the creation and strengthening of cooperatives, micro-enterprises, and other forms of community economic organization. Actions may include training in entrepreneurship and business management, access to ﬁnancing and technical assistance, and the promotion of local markets and sustainable value chains.;https://drive.google.com/file/d/1ScMwMjT3lusiB0c8tYYlb_dpki4YgOpk/view
RtR Resilience Action Cluster;Financial tools and investments in case of climate disasters;This action cluster focuses on the development and implementation of ﬁnancial instruments and investment strategies that help communities, businesses, and governments to mobilize resources for recovery and reconstruction after climate disasters, such as emergency funds, lines of credit, and green bonds. Actions may include the creation of speciﬁc ﬁnancing mechanisms, the promotion of public and private investments in resilient infrastructure, and the integration of climate resilience criteria in project evaluation.;https://drive.google.com/file/d/1ScMwMjT3lusiB0c8tYYlb_dpki4YgOpk/view
RtR Resilience Action Cluster;Economic incentives;This action cluster focuses on the establishment of economic incentives that promote the adoption of climate-resilient practices and technologies and the conservation of natural resources. These incentives may include subsidies, tax credits, and ecosystem service payment systems, among others. In addition, they may include the design and implementation of payment for ecosystem service systems that reward landowners and local communities for the protection and restoration of key ecosystems, such as forests, wetlands, and mangroves, which contribute to climate resilience and provide environmental and social beneﬁts.;https://drive.google.com/file/d/1ScMwMjT3lusiB0c8tYYlb_dpki4YgOpk/view
RtR Resilience Attributes (RA);Preparedness and planning;This skill refers to the ability to anticipate, prepare for and proactively manage change and uncertainty.;https://drive.google.com/file/d/1M_1xSqTGVwwn4jfiV4Cg9EFSccys1MBR/view
RtR Resilience Attributes (RA);Learning;This capacity involves the generation, assimilation and processing of new information and knowledge specifically linked to climate change adaptation and uncertainty management.;https://drive.google.com/file/d/1M_1xSqTGVwwn4jfiV4Cg9EFSccys1MBR/view
RtR Resilience Attributes (RA);Agency;Agency refers to the ability of an individual, system or community to exercise free choice in response to environmental change or other challenges.;https://drive.google.com/file/d/1M_1xSqTGVwwn4jfiV4Cg9EFSccys1MBR/view
RtR Resilience Attributes (RA);Social Collaboration;Social collaboration embodies the capacity for self-organization and coordinated collective action, fostering a cooperative approach and combined efforts that elevate resilience.;https://drive.google.com/file/d/1M_1xSqTGVwwn4jfiV4Cg9EFSccys1MBR/view
RtR Resilience Attributes (RA);Flexibility;Flexibility is a capacity that refers to the ability to switch between different coping and adaptive strategies, based on new information and ongoing assessments.;https://drive.google.com/file/d/1M_1xSqTGVwwn4jfiV4Cg9EFSccys1MBR/view
RtR Resilience Attributes (RA);Equity;Capacity of ensuring fair and equitable access to resources, respecting fundamental equal rights in decision-making, and incorporating all affected stakeholders in decision-making processes.;https://drive.google.com/file/d/1M_1xSqTGVwwn4jfiV4Cg9EFSccys1MBR/view
RtR Resilience Attributes (RA);Assets;Assets represent the ability to access natural, financial, infrastructure, technological and service resources in times of need.;https://drive.google.com/file/d/1M_1xSqTGVwwn4jfiV4Cg9EFSccys1MBR/view
RtR Resilience Attributes (RA);Resilience Attributes;Resilience Attributes are critical qualities enabling systems to withstand, adapt, and recover from adverse conditions. The identification and definition of these attributes and corresponding sub-categories were the result of an exhaustive collaborative process involving a literature review and expert consultations including the Race to Resilience's Methodological Advisory Group and stakeholders from the Resilience Knowledge Coalition. They serve as a predictive measure of resilience, aiding in the design, supervision, and initial assessment of resilient action. In this sense, interventions that positively impact these attributes are seen to improve the capacity of climate-vulnerable beneficiaries to respond to and adapt to changes. Within the context of the RtR's Metrics Framework, Resilience Attributes constitute the depth metrics, representing the qualitative dimension of the index that measures the increased resilience resulting from our partner's efforts.;https://drive.google.com/file/d/1M_1xSqTGVwwn4jfiV4Cg9EFSccys1MBR/view
RtR Resilience Attributes Subcategory (SubRA);Preparedness;This skill focuses on the ability to anticipate and prepare for situations of change and uncertainty. It involves not only the implementation of responses, warning systems, and action protocols, but also the early identification of potential threats. It is the competence to recognize the hazard, interpret its imminent proximity, and know how to act appropriately and effectively in the face of it. This preparedness not only mitigates the impact of threats, but can also provide opportunities for adaptation and growth in times of challenge.;https://drive.google.com/file/d/1M_1xSqTGVwwn4jfiV4Cg9EFSccys1MBR/view
RtR Resilience Attributes Subcategory (SubRA);Planning;This skill emphasizes the ability to develop short, medium, and long-term strategies that manage change and uncertainty, promoting continuous adaptation to climate change. Planning is a critical process that facilitates the generation of a resilient vision for the future. This approach includes establishing long-term perspectives, taking into account both current and future trends, creating more adaptive and collaborative methods that encourage the participation and engagement of various stakeholders, as well as the clear definition of desirable conditions for conservation and sustainable use of natural resources. This forward planning process aids in anticipating and preparing effective responses to situations of change and challenge.;https://drive.google.com/file/d/1M_1xSqTGVwwn4jfiV4Cg9EFSccys1MBR/view
RtR Resilience Attributes Subcategory (SubRA);Experiential learning;This capacity refers to the ability to learn from past experiences and failures, avoiding repeating mistakes and encouraging greater caution in future decisions. Transformative or experiential learning is a process in which problematic frames of reference are reconfigured to make them more inclusive, open and reflective with the intention of changing the scenario and thus building resilience. Therefore, this type of learning becomes a vital tool for the growth and development of stronger and more enduring resilience.;https://drive.google.com/file/d/1M_1xSqTGVwwn4jfiV4Cg9EFSccys1MBR/view
RtR Resilience Attributes Subcategory (SubRA);Educational learning;This type of learning involves the generation, absorption and processing of new information and knowledge focused on climate change adaptation and uncertainty management. This process is characterized by its dynamism and constant evolution, which allows for the continuous incorporation and application of new information. Educational learning is not limited to the classroom, but also occurs through interaction with the community, participation in research projects and field work. Environmental education can be a strategy for educational learning, involving the development of analytical and critical skills to understand the complexity of climate change and its consequences.;https://drive.google.com/file/d/1M_1xSqTGVwwn4jfiV4Cg9EFSccys1MBR/view
RtR Resilience Attributes Subcategory (SubRA);Autonomy;The ability of an individual, system or community to independently make decisions and take actions in response to challenges or changes. This ability promotes more personalized and effective adaptation to specific circumstances, resulting in greater resilience.;https://drive.google.com/file/d/1M_1xSqTGVwwn4jfiV4Cg9EFSccys1MBR/view
RtR Resilience Attributes Subcategory (SubRA);Leadership;This capacity involves the ability to influence, guide and motivate others to achieve common goals in times of adversity. This skill requires not only the ability to make strategic decisions at critical moments, but also the skill to inspire trust, cohesion and action in others. Effective leadership can mobilize resources, foster collaboration, and lead recovery efforts in ways that overcome adversity and promote resilience.;https://drive.google.com/file/d/1M_1xSqTGVwwn4jfiV4Cg9EFSccys1MBR/view
RtR Resilience Attributes Subcategory (SubRA);Decision Making;This capacity refers to the ability to choose among different options in response to changes or challenges. This skill involves evaluating possible actions and their consequences, as well as choosing and executing a course of action. Effective decision making is critical to a timely and effective response to challenges, and can make the difference between failure and overcoming adversity. Sound judgment, the ability to make decisions under pressure, and the ability to learn from mistakes are key aspects of this subcategory of agency. These skills promote successful adaptation and recovery from adversity, which increases resilience.;https://drive.google.com/file/d/1M_1xSqTGVwwn4jfiV4Cg9EFSccys1MBR/view
RtR Resilience Attributes Subcategory (SubRA);Collective Participation;Collective participation is a vital aspect of resilience, enabling the mobilization of individuals and groups towards common goals. It fosters social cohesion and drives collaborative action, particularly in response to challenges like climate change. By promoting collective participation, communities strengthen their bonds, foster shared ownership and solidarity, and empower individuals to work together for the greater good.;https://drive.google.com/file/d/1M_1xSqTGVwwn4jfiV4Cg9EFSccys1MBR/view
RtR Resilience Attributes Subcategory (SubRA);Connectivity;This refers to the quality, depth, and strength of social relationships within a system or community. Enhanced connectivity creates a responsive, well-informed network that can rapidly disseminate vital information and resources, facilitate mutual support, and collectively implement strategies to deal with crisis situations.;https://drive.google.com/file/d/1M_1xSqTGVwwn4jfiV4Cg9EFSccys1MBR/view
RtR Resilience Attributes Subcategory (SubRA);Coordination;This refers to the ability to organize and align various elements, be they leaders, departments, or organizations, towards achieving shared goals. Effective coordination enhances the efficiency of crisis response, promotes the spirit of unity, fosters effective cooperation, and thereby fortifies resilience.;https://drive.google.com/file/d/1M_1xSqTGVwwn4jfiV4Cg9EFSccys1MBR/view
RtR Resilience Attributes Subcategory (SubRA);Diversity;Diversity refers to the ability to maintain multiple adaptive strategies, which ensures an effective response to a variety of climatic situations or adversities. It promotes resilience by providing a variety of tools and approaches to deal with challenges.;https://drive.google.com/file/d/1M_1xSqTGVwwn4jfiV4Cg9EFSccys1MBR/view
RtR Resilience Attributes Subcategory (SubRA);Redundancy;Redundancy involves maintaining copies of key strategies to ensure continuity of critical functions, even in cases of failures or outages. Although redundancy may seem inefficient in times of normalcy, it can be crucial for survival and recovery during and after adversity.;https://drive.google.com/file/d/1M_1xSqTGVwwn4jfiV4Cg9EFSccys1MBR/view
RtR Resilience Attributes Subcategory (SubRA);Distributive equity;The ability to ensure fair and equitable distribution and access to resources. In the context of resilience, it is critical to ensure that the benefits and costs of adaptation and recovery strategies are shared fairly and that no one is excluded or left behind.;https://drive.google.com/file/d/1M_1xSqTGVwwn4jfiV4Cg9EFSccys1MBR/view
RtR Resilience Attributes Subcategory (SubRA);Equity Access;The capacity to incorporate and integrate all affected actors and discourses into decision-making processes. Inclusiveness is crucial to ensure that decisions made are representative of the needs and aspirations of all stakeholders.;https://drive.google.com/file/d/1M_1xSqTGVwwn4jfiV4Cg9EFSccys1MBR/view
RtR Resilience Attributes Subcategory (SubRA);Finance;Finance refers to the capacity to access, manage and effectively use financial resources. The robustness of internal funding, i.e., funds generated and managed within the community or system, is often more significant than external funding sources.;https://drive.google.com/file/d/1M_1xSqTGVwwn4jfiV4Cg9EFSccys1MBR/view
RtR Resilience Attributes Subcategory (SubRA);Infrastructure;Infrastructure encompasses the physical and systematic facilities that are essential to the functioning and well-being of a community or society. Ensuring the resilience of infrastructure is critical, as these facilities act as platforms that can absorb and withstand catastrophes.;https://drive.google.com/file/d/1M_1xSqTGVwwn4jfiV4Cg9EFSccys1MBR/view
RtR Resilience Attributes Subcategory (SubRA);Natural Resources;The effective management and use of natural resources is fundamental to the life and well-being of communities and ecosystems. Sustainable management of natural resources ensures their long-term availability and enables adaptation and recovery in the face of climate shocks.;https://drive.google.com/file/d/1M_1xSqTGVwwn4jfiV4Cg9EFSccys1MBR/view
RtR Resilience Attributes Subcategory (SubRA);Technologies;Access to and use of appropriate technologies can significantly facilitate adaptation to climate change. These tools can contribute to building more resilient and sustainable systems.;https://drive.google.com/file/d/1M_1xSqTGVwwn4jfiV4Cg9EFSccys1MBR/view
RtR Resilience Attributes Subcategory (SubRA);Basic services;Access to a wide range of services is a crucial component of supporting climate change adaptation. A resilient system ensures that these services remain accessible and functional during shocks, ensuring the well-being of the community.;https://drive.google.com/file/d/1M_1xSqTGVwwn4jfiV4Cg9EFSccys1MBR/view
Sharm-El-Sheikh Adaptation Agenda (SAA) ;Sharm El Sheikh Adaptation Agenda (SAA);The Sharm-El-Sheikh Adaptation Agenda has emerged as a critical initiative to tackle global climate change issues. This agenda was established after COP27 in 2022 and sets out Global 2030 Adaptation Outcome Targets.;https://climatechampions.unfccc.int/wp-content/uploads/2024/01/Sharm-El-Sheikh-Adaptation-Agenda-2023-Implementation-Report.pdf
Sharm-El-Sheikh Adaptation Agenda (SAA) ;Coastal and Oceanic Systems;These are the marine ecosystems along the coast and in the ocean, including coral reefs, mangroves, fishing communities, and coastal urban areas. These systems are highly susceptible to the impacts of climate change, such as sea level rise, ocean acidification, and extreme weather events.;https://climatechampions.unfccc.int/wp-content/uploads/2024/01/Sharm-El-Sheikh-Adaptation-Agenda-2023-Implementation-Report.pdf
Sharm-El-Sheikh Adaptation Agenda (SAA) ;Cross-cutting Enabler: Finance;Planning and financing are essential to understanding the impacts of climate change across different systems, making informed decisions, and allocating resources to implement and accelerate adaptation.;https://climatechampions.unfccc.int/wp-content/uploads/2024/01/Sharm-El-Sheikh-Adaptation-Agenda-2023-Implementation-Report.pdf
Sharm-El-Sheikh Adaptation Agenda (SAA) ;Cross-cutting Enabler: Planning;Planning and financing are essential to understanding the impacts of climate change across different systems, making informed decisions, and allocating resources to implement and accelerate adaptation.;https://climatechampions.unfccc.int/wp-content/uploads/2024/01/Sharm-El-Sheikh-Adaptation-Agenda-2023-Implementation-Report.pdf
Sharm-El-Sheikh Adaptation Agenda (SAA) ;Food and Agriculture Systems;Refer to the entire process of producing, processing, distributing, and consuming food and agricultural products, including the impact on food security, nutrition and health, social equity, and the economy.;https://climatechampions.unfccc.int/wp-content/uploads/2024/01/Sharm-El-Sheikh-Adaptation-Agenda-2023-Implementation-Report.pdf
Sharm-El-Sheikh Adaptation Agenda (SAA) ;Health systems;Health Systems;https://climatechampions.unfccc.int/wp-content/uploads/2024/01/Sharm-El-Sheikh-Adaptation-Agenda-2023-Implementation-Report.pdf
Sharm-El-Sheikh Adaptation Agenda (SAA) ;Human Settlements Systems;These are the constructed environments where people live, work and play, including urban, suburban and rural areas. Human settlements are vulnerable to the impacts of climate change, including sea level rise, increased heat, and extreme weather events.;https://climatechampions.unfccc.int/wp-content/uploads/2024/01/Sharm-El-Sheikh-Adaptation-Agenda-2023-Implementation-Report.pdf
Sharm-El-Sheikh Adaptation Agenda (SAA) ;Infrastructure Systems;These are the critical systems that support human activity, such as energy and transportation systems. Climate change can cause disruptions to these systems, such as damage to hydroelectric power or rail assets caused by flooding, or changes in demand caused by heat waves.;https://climatechampions.unfccc.int/wp-content/uploads/2024/01/Sharm-El-Sheikh-Adaptation-Agenda-2023-Implementation-Report.pdf
Sharm-El-Sheikh Adaptation Agenda (SAA) ;Water and Nature Systems;Encompass the interrelated ecological and hydrological systems, including agricultural land, wilderness areas, and rural communities, and their impact on biodiversity, water resources, and the functioning of wastewater systems.;https://climatechampions.unfccc.int/wp-content/uploads/2024/01/Sharm-El-Sheikh-Adaptation-Agenda-2023-Implementation-Report.pdf
Loss and Damage (L&D);Anticipatory and disaster risk reduction;Anticipatory, humanitarian response as well as disaster risk management actions after losses and damages, from extreme events followed by longer term resilience-building to reduce future losses and damages;https://climatechampions.unfccc.int/wp-content/uploads/2023/04/Actions-After-Impacts_-Accelerating-Action-by-non-State-actors-to-address-climate-losses-and-damages-FINAL-corrected.pdf
Loss and Damage (L&D);Access and coverage of insurance;Access to, and coverage of insurance including premiums subsidies, regional risk pools and parametric schemes;https://climatechampions.unfccc.int/wp-content/uploads/2023/04/Actions-After-Impacts_-Accelerating-Action-by-non-State-actors-to-address-climate-losses-and-damages-FINAL-corrected.pdf
Loss and Damage (L&D);Social, cultural and biodiversity actions;Social, cultural, health and biodiversity actions to address non economic climate losses and damages;https://climatechampions.unfccc.int/wp-content/uploads/2023/04/Actions-After-Impacts_-Accelerating-Action-by-non-State-actors-to-address-climate-losses-and-damages-FINAL-corrected.pdf
Loss and Damage (L&D);Model and valuing;Model and value climate losses and damages;https://climatechampions.unfccc.int/wp-content/uploads/2023/04/Actions-After-Impacts_-Accelerating-Action-by-non-State-actors-to-address-climate-losses-and-damages-FINAL-corrected.pdf
Loss and Damage (L&D);Litigation;Litigation of a third party for losses & damages they have caused;https://climatechampions.unfccc.int/wp-content/uploads/2023/04/Actions-After-Impacts_-Accelerating-Action-by-non-State-actors-to-address-climate-losses-and-damages-FINAL-corrected.pdf
Loss and Damage (L&D);Human mobility;Human mobility and migration;https://climatechampions.unfccc.int/wp-content/uploads/2023/04/Actions-After-Impacts_-Accelerating-Action-by-non-State-actors-to-address-climate-losses-and-damages-FINAL-corrected.pdf
Loss and Damage (L&D);Livelihoods diversification;Change in peoples’ livelihoods and diversification of jobs and income sources;https://climatechampions.unfccc.int/wp-content/uploads/2023/04/Actions-After-Impacts_-Accelerating-Action-by-non-State-actors-to-address-climate-losses-and-damages-FINAL-corrected.pdf
Loss and Damage (L&D);Social protection and safety nets;Social protection and safety nets;https://climatechampions.unfccc.int/wp-content/uploads/2023/04/Actions-After-Impacts_-Accelerating-Action-by-non-State-actors-to-address-climate-losses-and-damages-FINAL-corrected.pdf
Loss and Damage (L&D);Business recovery & continuity;Business continuity and recovery plans;https://climatechampions.unfccc.int/wp-content/uploads/2023/04/Actions-After-Impacts_-Accelerating-Action-by-non-State-actors-to-address-climate-losses-and-damages-FINAL-corrected.pdf
Loss and Damage (L&D);Knowledge and Guidance;Generating knowledge and best practices on how to address losses and damages;https://climatechampions.unfccc.int/wp-content/uploads/2023/04/Actions-After-Impacts_-Accelerating-Action-by-non-State-actors-to-address-climate-losses-and-damages-FINAL-corrected.pdf
Vulnable Groups;Vulnerable Groups ;Populations that exhibit heightened exposure and sensitivity to climate change impacts and diminished adaptive capacity (Poloczanska & Romero, 2023).;https://drive.google.com/file/d/1I8NRL25iqiTuK6NBQl4kD4ZV7aWncw-t/view
Vulnable Groups;Intersectional Vulnerability;Vulnerability should be understood through an intersectional lens that acknowledges the interplay of multiple social variables, considers power relations and societal structures, and recognizes that vulnerability factors are context-specific, interrelated, and dynamic (Kuran et al., 2020).;https://drive.google.com/file/d/1I8NRL25iqiTuK6NBQl4kD4ZV7aWncw-t/view
Vulnable Groups;Women and Girls;Individuals who identify as female, often considered in the context of addressing gender-specific challenges, inequalities, and opportunities.;https://drive.google.com/file/d/1I8NRL25iqiTuK6NBQl4kD4ZV7aWncw-t/view
Vulnable Groups;LGBTQIA+;Individuals who identify as lesbian, gay, bisexual, transgender, queer or questioning, intersex, asexual, or others, reflecting diverse sexual orientations and gender identities.;https://drive.google.com/file/d/1I8NRL25iqiTuK6NBQl4kD4ZV7aWncw-t/view
Vulnable Groups;Elderly;Older adults, typically considered to be those aged 60 or above, who may face unique challenges related to health, mobility, and societal inclusion.;https://drive.google.com/file/d/1I8NRL25iqiTuK6NBQl4kD4ZV7aWncw-t/view
Vulnable Groups;Children and Youth;Individuals under 18 (children) and young adults under 35, often emphasized for their developmental needs, potential, and role as future leaders.;https://drive.google.com/file/d/1I8NRL25iqiTuK6NBQl4kD4ZV7aWncw-t/view
Vulnable Groups;Disabled;People with physical, sensory, intellectual, or mental impairments that may interact with societal barriers, affecting their full participation in society.;https://drive.google.com/file/d/1I8NRL25iqiTuK6NBQl4kD4ZV7aWncw-t/view
Vulnable Groups;Indigenous or Traditional Communities;Groups rooted in longstanding cultural traditions, often tied to specific geographical regions, with unique knowledge, practices, and worldviews.;https://drive.google.com/file/d/1I8NRL25iqiTuK6NBQl4kD4ZV7aWncw-t/view
Vulnable Groups;Racial, Ethnic, and/or Religious Minorities;Groups distinguished by race, ethnicity, or religion that may face systemic marginalization or discrimination.;https://drive.google.com/file/d/1I8NRL25iqiTuK6NBQl4kD4ZV7aWncw-t/view
Vulnable Groups;Refugees;Individuals who have fled their countries due to conflict, persecution, or other threats, seeking safety and protection elsewhere.;https://drive.google.com/file/d/1I8NRL25iqiTuK6NBQl4kD4ZV7aWncw-t/view
Vulnable Groups;Low-Income Communities;Groups or populations facing economic hardship, often with limited access to resources, opportunities, and basic services.;https://drive.google.com/file/d/1I8NRL25iqiTuK6NBQl4kD4ZV7aWncw-t/view
Locally Lead Adaptation Principles;Addressing structural inequalities faced by women, youth, children, people with disabilities, people who are displaced, Indigenous Peoples and marginalized ethnic groups;Integrating gender-based, economic and political inequalities that are root causes of vulnerability into the core of adaptation action and encouraging vulnerable and marginalized individuals to meaningfully participate in and lead adaptation decisions;https://drive.google.com/file/d/1mxFNayD9zs8X28kgirLF7diK7yGQSB42/view?usp=sharing
Locally Lead Adaptation Principles;Building a robust understanding of climate risk and uncertainty;Informing adaptation decisions through a combination of local, traditional, Indigenous, generational and scientific knowledge that can enable resilience under a range of future climate scenarios;https://drive.google.com/file/d/1mxFNayD9zs8X28kgirLF7diK7yGQSB42/view?usp=sharing
Locally Lead Adaptation Principles;Collaborative action and investment;Collaboration across sectors, initiatives and levels to ensure that different initiatives and different sources of funding (humanitarian assistance, development, disaster risk reduction, green recovery funds, etc.) support each other, and their activities avoid duplication to enhance efficiencies and good practice;https://drive.google.com/file/d/1mxFNayD9zs8X28kgirLF7diK7yGQSB42/view?usp=sharing
Locally Lead Adaptation Principles;Devolving decision making to the lowest appropriate level;"Giving local institutions and communities more direct access to finance and decision-making power over how adaptation actions are defined, prioritized, designed, implemented; how progress is monitored and how success is evaluated.";https://drive.google.com/file/d/1mxFNayD9zs8X28kgirLF7diK7yGQSB42/view?usp=sharing
Locally Lead Adaptation Principles;Ensuring transparency and accountability;Making processes of financing, designing and delivering programs more transparent and accountable downward to local stakeholders;https://drive.google.com/file/d/1mxFNayD9zs8X28kgirLF7diK7yGQSB42/view?usp=sharing
Locally Lead Adaptation Principles;Flexible programming and learning;Enabling adaptive management to address the inherent uncertainty in adaptation, especially through robust monitoring and learning systems and flexible finance and programming.;https://drive.google.com/file/d/1mxFNayD9zs8X28kgirLF7diK7yGQSB42/view?usp=sharing
Locally Lead Adaptation Principles;Investing in local capabilities to leave an institutional legacy;Improving the capabilities of local institutions to ensure they can understand climate risks and uncertainties, generate solutions and facilitate and manage adaptation initiatives over the long term without being dependent on project-based donor funding;https://drive.google.com/file/d/1mxFNayD9zs8X28kgirLF7diK7yGQSB42/view?usp=sharing
Locally Lead Adaptation Principles;Providing patient and predictable funding that can be accessed more easily;Supporting long-term development of local governance processes, capacity and institutions through simpler access modalities, as well as longer term and more predictable funding horizons to ensure that communities can effectively implement adaptation actions;https://drive.google.com/file/d/1mxFNayD9zs8X28kgirLF7diK7yGQSB42/view?usp=sharing
